gene_id	Heart_P3_1	Heart_P3_2	Heart_P3_3	Heart_P3_4	Heart_P63_1	Heart_P63_2	Heart_P63_3	Heart_P63_4
ENSMUSG00000000594	824	743	708	1089	874	489	560	741
ENSMUSG00000000600	1296	1687	1397	1554	1749	1042	937	1543
ENSMUSG00000000605	2538	3314	2695	3121	3348	2056	2166	3515
ENSMUSG00000000606	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	2	0	1	0	2	1	1
ENSMUSG00000000627	17	0	1	1	21	7	11	26
ENSMUSG00000000628	2551	3543	3169	3100	14511	7753	10794	16357
ENSMUSG00000000631	7326	8591	7514	10073	8882	4735	6210	8155
ENSMUSG00000000632	3	3	0	0	9	8	5	10
ENSMUSG00000000673	3	0	1	1	10	4	4	27
ENSMUSG00000000682	19	11	23	30	36	44	41	44
ENSMUSG00000000686	19	26	13	27	67	36	44	39
ENSMUSG00000000690	5	3	3	2	0	3	1	1
ENSMUSG00000000693	265	258	198	352	241	172	141	146
ENSMUSG00000000701	0	0	0	0	0	0	0	0
ENSMUSG00000000706	14	13	7	6	0	0	0	0
ENSMUSG00000000708	2816	3584	3046	3599	5595	3018	3239	4900
ENSMUSG00000000711	1653	1917	1532	2068	2799	1381	1801	2434
ENSMUSG00000000724	0	0	0	0	0	0	0	0
ENSMUSG00000000730	1	1	0	0	7	7	9	5
ENSMUSG00000000731	0	2	0	2	2	0	0	0
ENSMUSG00000000732	130	168	127	209	521	198	425	403
ENSMUSG00000000738	2003	2363	2084	2582	3412	1807	3023	3845
ENSMUSG00000000739	43	24	16	53	20	20	45	27
ENSMUSG00000000740	512	566	564	468	317	322	308	430
ENSMUSG00000000743	1394	1670	1312	1880	1862	1112	1449	1911
ENSMUSG00000000751	2899	3266	3054	3297	2327	1092	1552	1972
ENSMUSG00000000753	439	453	300	553	1654	932	593	623
ENSMUSG00000000759	1274	1482	1139	1628	1089	629	678	881
ENSMUSG00000000766	0	0	0	1	0	0	0	0
ENSMUSG00000000776	399	448	340	440	548	329	356	561
ENSMUSG00000000782	131	80	62	94	27	66	58	58
ENSMUSG00000000787	11959	15087	9854	11116	12672	7995	4956	8159
ENSMUSG00000000791	4	3	1	1	1	0	2	2
ENSMUSG00000000792	3	2	0	1	4	3	3	5
ENSMUSG00000000794	203	288	213	327	141	118	40	39
ENSMUSG00000000804	1530	1859	1506	1951	2057	1143	983	1413
ENSMUSG00000000805	317	445	261	473	532	226	465	496
ENSMUSG00000000811	767	938	780	1018	849	525	522	876
ENSMUSG00000000817	3	0	0	0	0	0	1	0
ENSMUSG00000000823	2042	2236	1816	2525	1035	683	660	1116
ENSMUSG00000000826	3998	4602	3813	4866	3608	1865	2474	3509
ENSMUSG00000000827	1754	2090	1738	2213	2007	1124	1323	1811
